bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
1,1,0,5,4,4,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
1,2,20,10,1,2,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
1,3,1,3,4,3,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
1,3,0,1,1,2,0,Florida,2,2,5,1,2,2,2,1,0,3,2,5,1,1,32714,100,4,4,1
1,4,0,20,1,3,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
0,1,2,20,4,3,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
0,1,0,5,2,1,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
1,4,5,5,3,4,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
1,3,3,2,1,2,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
1,3,10,3,1,2,1,Florida,2,2,1,1,1,2,1,1,0,3,2,2,2,1,32738,5,1,1,1
1,1,1,2,2,1,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
1,4,3,20,1,3,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
0,1,3,0,1,4,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
1,4,1,10,4,4,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
1,2,10,1,4,3,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
1,2,2,5,4,1,1,Florida,2,3,1,2,5,1,1,3,0,6,2,2,2,1,32754,30,3,2,1
1,4,5,0,1,1,0,Florida,2,1,2,1,5,1,1,1,0,6,2,1,2,2,32759,30,0,3,1
